Date,Time,Location,Sub-location,Source,Notes
2021-05-21,0800h - 0850h,Yuhua Community Club (90 Boon Lay Way),,https://www.todayonline.com/singapore/2-community-clubs-and-2-hotels-among-places-visited-covid-19-cases-while-infectious-moh,Added/ Updated on 2021-06-04
2021-05-21,1905h - 1940h,Vivocity (1 Harbourfront Walk) ,Daiso,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-21,1720h - 1755h,Ntp+ (151 Lorong Chuan),"The Social Alley, Singapore",https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-21,1105h - 1155h,Al Forno (East Coast) Pte Ltd (400 East Coast Road),,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-21,1940h - 2010h,Vivocity (1 Harbourfront Walk) ,"Toys""R""Us",https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-21,1600h - 1635h,Da Jin Factory Building (362 Upper Paya Lebar Road),,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-20,0810h - 1255h,Resorts World Sentosa Casino (8 Sentosa Gateway),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01
2021-05-20,1150h - 1225h,Prime Supermarket (373 Bukit Batok Street 31),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-20,1150h - 1225h,Prime Supermarket (373 Bukit Batok Street 31),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-20,1600h - 2300h,Punggol Plaza (168 Punggol Field),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-20,1700h - 2200h,Poke Theory (238 Thomson Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-20,1510h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-20,1730h - 1820h,Chinatown Point (133 New Bridge Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-20,1820h - 1920h ,Rains Foot Massage (6 Hougang Avenue 3),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01
2021-05-20,1340h - 1510h,Kaki Bukit Recreation Centre (7 Kaki Bukit Avenue 3),Posb Account Services Centre,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-20,1420h - 1520h,Ion Orchard (2 Orchard Turn),Flnt At 1-Atico,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-19,1030h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-19,1600h - 2300h,Punggol Plaza (168 Punggol Field),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-19,1420h - 1500h,Health Management Centre (809 French Road),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01
2021-05-19,0930h - 2130h,Holland Piazza (3 Lorong Liput),Tiger Sugar,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26
2021-05-19,1600h - 0020h,Resorts World Sentosa Casino (8 Sentosa Gateway),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01
2021-05-19,1515h - 1550h,Causeway Point (1 Woodlands Square),Tonkotsu Hototogisu,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-19,1430h - 1535h,Ntuc Fairprice (301 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,Added/ Updated on 2021-06-03
2021-05-19,1520h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-19,1420h - 1520h,Woodlands Regional Library (900 South Woodlands Drive),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26
2021-05-19,1420h - 1525h,Woodlands Civic Centre (900 South Woodlands Drive),Workforce Singapore'S Careerconnect,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-19,1745h - 1830h,Westgate (3 Gateway Drive) ,Redman By Phoon Huat,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-19,1320h - 1530h,Ntuc Fairprice (301 Yishun Avenue 2),,https://www.channelnewsasia.com/news/singapore/fairprice-yishun-mrt-yuhua-village-market-covid-19-locations-moh-14934416,"Added/ Updated on 2021-06-03, Date is till 30 May 2021"
2021-05-19,1515h - 1550h,Causeway Point (1 Woodlands Square),Uob,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes-(9).pdf,Added/ Updated on 2021-05-26
2021-05-18,1625h - 1725h,Plq Mall (10 Paya Lebar Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-18,1315h - 1400h,White Sands (1 Pasir Ris Central Street 3) ,Ntuc Fairprice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-18,1115h - 1220h,Geylang Serai Malay Market And Food Centre (1 Geylang Serai),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-18,0730h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-18,1800h - 1845h,Giant @ Imm (2 Jurong East Street 21),Giant Hypermarket,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-18,1515h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-18,1755h - 1835h,Madam Fang Hairdressing & Beauty Saloon (1989) (510 Bedok North Street 3),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-17,1530h - 1615h,Sun Plaza (30 Sembawang Drive) ,Ntuc Fairprice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-17,1000h - 2200h,Kfc (35 Jalan Mas Puteh),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-17,0730h - 2000h,Westgate (3 Westgate Drive) ,Fun Toast,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-17,1310h - 1340h,Masjid Jamae (Chulia) (218 South Bridge Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-17,1845h - 1945h,Hair Label Salon (57A New Upper Changi Road),,https://www.todayonline.com/singapore/resorts-world-sentosa-casino-supermarket-chua-chu-kang-among-places-visited-covid-19-cases,Added/ Updated on 2021-06-01
2021-05-17,1245h - 1350h,Jurong Regional Library (21 Jurong East Central 1),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-17,1940h - 2015h,West Mall (1 Bukit Batok Central Link),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-17,1300h - 1330h,Tiong Bahru Plaza (302 Tiong Bahru Road),Posb,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-17,1415h - 1520h,Jurong Point (1 Jurong West Central 2),Yue Hwa Chinese Products,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-17,2025h - 2105h,Viva Business Park (750A Chai Chee Road) ,Decathlon Bedok,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-17,1505h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-17,1130h - 1830h,Golden Landmark Shopping Centre (390 Victoria Street),Hijabville,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-17,1000h - 1130h,Kong Meng San Phor Kark See Monastery (88 Bright Hill Road),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,1115h - 1245h,Causeway Point (1 Woodlands Square),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-16,1305h - 1355h,Sim Lim Square (1 Rochor Canal Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-16,1015h - 1100h,Prime Supermarket (823 Tampines Street 81),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,1055h - 1130h,Tripleone Somerset (111 Somerset Road),Fairprice Finest,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-16,1425h - 1455h,Chinatown Point (133 New Bridge Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-16,0950h - 1030h,Great World City (1 Kim Seng Promenade) ,Meidi-Ya Supermarket,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-16,1405h - 1445h,Ntuc Fairprice (570B Woodlands Avenue 1),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,0845h - 0915h,Sheng Siong Supermarket (52 Chin Swee Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-16,1020h - 1055h,Sheng Siong Supermarket (154A Bukit Batok West Avenue 8),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-16,2240h - 2330h,Mustafa Centre (145 Syed Alwi Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-16,1510h - 1540h,Lucky Plaza (304 Orchard Road),Jollibee,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-16,1745h - 1850h,Sun Plaza (30 Sembawang Drive),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,1115h - 1215h,Snip Avenue (156 Bukit Batok Street 11),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-16,0915h - 0955h,Sheng Siong Supermarket (4 Toa Payoh Lorong 7),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-16,1520h - 1600h,Toa Payoh East Community Club (160 Toa Payoh Lorong 6),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-16,1415h - 1525h,Cash Converters (710A Ang Mo Kio Avenue 8),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,1135h - 1210h,Boon Lay Shopping Centre (221 Boon Lay Place),Ntuc Fairprice,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-16,2010h - 2110h,Giant Supermarket (376 Bukit Batok Street 31),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-16,1320h - 1350h,Lucky Plaza (304 Orchard Road),Ayam Penyet President,https://www.todayonline.com/singapore/westgate-lucky-plaza-and-mustafa-centre-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-28
2021-05-16,1000h - 2200h,Kfc (35 Jalan Mas Puteh),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-16,1535h - 1620h,Toa Payoh Central (520 Lorong 6 Toa Payoh) ,Ocbc,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,2200h - 0000h,Bbq Box @ Bukit Timah (22 Cheong Chin Nam Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-15,1045h - 1120h,Sheng Siong Supermarket (4 Toa Payoh Lorong 7),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-15,2210h - 2300h,Safra Yishun (60 Yishun Avenue 4),Mcdonald'S,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-15,1930h - 2030h,The Carving Board (252 Jurong East Street 24),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1200h - 1300h,Ntuc Fairprice (345 Jurong East Street 31),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,0700h - 1630h,Canberra Plaza (133 Canberra View),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-15,1715h - 1745h,Sun Plaza (30 Sembawang Drive) ,Ntuc Fairprice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-15,1645h - 2045h,Tiong Bahru Plaza (298 Tiong Bahru Road),,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-15,2220h - 2320h,Mustafa Centre (145 Syed Alwi Road),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-15,1100h - 1600h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-15,0725h - 0755h,Rivervale Plaza (118 Rivervale Drive) ,Koufu,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1825h - 2025h,The Punggol Settlement (500 New Punggol Road),Relax Bar,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1815h - 2020h,Changi City Point (5 Changi Business Park Central 1),"Saizeriya, Daiso",https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-15,1230h - 1335h,Mandai Crematorium And Columbarium Complex (300 Mandai Road),Yue Hwa Chinese Products,https://www.channelnewsasia.com/news/singapore/covid-19-locations-may-26-mcdonalds-woodlands-poke-theory-novena-14889532,Added/ Updated on 2021-05-27
2021-05-15,1645h - 1730h,Tiong Bahru Plaza (298 Tiong Bahru Road) ,Long John Silver’S,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-15,1030h - 1600h,Coronation Shopping Plaza (587 Bukit Timah Road),The Goodburger Food Truck,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1415h - 1545h,Bukit Panjang Plaza (1 Jelebu Road),Popular Bookstore,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-15,0800h - 0830h,Mcdonald'S (311 Upper Changi Road),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-15,1415h - 1630h,Causeway Point (1 Woodlands Square),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-15,1200h - 1300h,Broadway Coffeeshop (155 Bukit Batok Street 11),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-15,1310h - 1400h,Changi Airport Terminal 1 (80 Airport Boulevard),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-15,0900h - 0930h,Jinwei Hai Xian (280 Bishan Street 24),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1515h - 1710h,Ywca Fort Canning (6 Fort Canning Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1805h - 1905h,Raffles Holland V Mall (118 Holland Avenue) ,Sushi Tei,https://www.todayonline.com/singapore/chinatown-point-plq-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-29
2021-05-15,1310h - 1520h,Causeway Point (1 Woodlands Square),Shabu Sai,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-15,1330h - 1430h,Far East Plaza (14 Scotts Road),Wok Wei Kitchen,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-15,1000h - 1120h,Jurong Point (1 Jurong West Central 2) ,Ntuc Fairprice,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-15,1320h - 1520h,313@Somerset (313 Orchard Road) ,Josh'S Grill,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1600h - 2200h,Kfc (35 Jalan Mas Puteh),,https://www.todayonline.com/singapore/peninsula-plaza-causeway-point-and-several-supermarkets-among-places-visited-covid-19,Added/ Updated on 2021-05-21
2021-05-15,1155h - 1300h,Woodlands Civic Centre (900 South Woodlands Drive),Woodlands Regional Library,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-15,1530h - 1735h,The Punggol Settlement (500 New Punggol Road),Sun Bistro,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,2050h - 2150h,Arya Samaj Building (114 Syed Alwi Road) ,Malabar Gold & Diamonds Pte Ltd,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-15,0930h - 1030h,Ntuc Fairprice (279 Bishan Street 24),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1540h - 2100h,Woodlands Civic Centre (900 South Woodlands Drive),Woodlands Regional Library,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-15,1200h - 1235h,Changi City Point (5 Changi Business Park Central 1) ,Han’S,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1200h - 1245h,Phoon Huat (107 Lorong 1 Toa Payoh),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1930h - 2130h,Chang Cheng Hq (27 Woodlands Link),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1740h - 1810h,Ion Orchard (2 Orchard Turn),,https://www.channelnewsasia.com/news/singapore/covid-19-locations-sim-lim-square-ikea-jurong-library-14872628,Added/ Updated on 2021-05-24
2021-05-15,1500h - 1700h,Lao Si Chuan Dou Hua Zhuang (46 Temple Street),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1425h - 1545h,Far East Plaza (14 Scotts Road),One Care Reflexology And Wellness,https://www.channelnewsasia.com/news/singapore/covid-19-locations-visited-may-21-far-east-plaza-14859090,Added/ Updated on 2021-05-22
2021-05-15,1000h - 1100h,Jurong Point (1 Jurong West Central 2),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1120h - 1150h,Jurong Point (1 Jurong West Central 2),Watsons,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1300h - 1400h,Ghim Moh Market And Food Centre (20 Ghim Moh Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1010h - 1055h,Hola Cafeteria (248 Simei Street 5),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-15,1500h - 1530h,7-Eleven Resorts World Station (32 Sentosa Gateway),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1455h - 1555h,Marsiling Mall (4 Woodlands Street 12) ,Sheng Siong Supermarket,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1230h - 1330h,United Square Shopping Mall (101 Thomson Road) ,Jalan Kayu Prata Cafe,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1505h - 2100h,Westgate (3 Gateway Drive) ,Pizza Hut,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-14,1500h - 1915h,Paragon (290 Orchard Road),Starbucks,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1320h - 1400h,The Shoppes At Marina Bay Sands (10 Bayfront Avenue),,https://www.todayonline.com/singapore/punggol-plaza-mbs-mall-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-05-25
2021-05-14,1915h - 2015h,Safra Toa Payoh (293 Lorong 6 Toa Payoh),Yakun Kaya Toast,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1255h - 1335h,Masjid Al-Muttaqin (5140 Ang Mo Kio Avenue 6),,https://www.todayonline.com/singapore/changi-city-point-sengkang-sports-complex-among-places-visited-covid-19-cases-while,Added/ Updated on 2021-05-23
2021-05-14,1720h - 1750h,Sheng Siong Supermarket (52 Chin Swee Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
2021-05-14,1830h - 1905h,Superluck Food Court (440 Bukit Batok West Avenue 8),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexes9f1bd59862d64d81862ae7ff2f978152.pdf,Refreshed on 2021-05-20
